case_id,animalname,symptom,first_aid_advice,emergency
59,dog,breathing difficulty,"Move your dog to a cool, quiet place and reduce stress. Do not force exercise or restrain the chest or neck. If breathing is labored or gasping, seek emergency vet care.",yes
69,dog,breathing difficulty,"Move your dog to a cool, quiet place and reduce stress. Do not force exercise or restrain the chest or neck. If breathing is labored or gasping, seek emergency vet care.",yes
109,dog,breathing difficulty,"Move your dog to a cool, quiet place and reduce stress. Do not force exercise or restrain the chest or neck. If breathing is labored or gasping, seek emergency vet care.",yes
10,dog,broken bones,Stop movement immediately. Do not try to straighten the limb. Support the leg if possible and take your dog to a veterinarian urgently.,yes
2,dog,coughing,"Allow rest and keep away from smoke or dust. Provide water. If coughing lasts long, worsens, or affects breathing, contact a veterinarian.",no
3,dog,coughing,"Allow rest and keep away from smoke or dust. Provide water. If coughing lasts long, worsens, or affects breathing, contact a veterinarian.",no
4,dog,coughing,"Allow rest and keep away from smoke or dust. Provide water. If coughing lasts long, worsens, or affects breathing, contact a veterinarian.",no
5,dog,coughing,"Allow rest and keep away from smoke or dust. Provide water. If coughing lasts long, worsens, or affects breathing, contact a veterinarian.",no
18,dog,coughing,"Allow rest and keep away from smoke or dust. Provide water. If coughing lasts long, worsens, or affects breathing, contact a veterinarian.",no
19,dog,coughing,"Allow rest and keep away from smoke or dust. Provide water. If coughing lasts long, worsens, or affects breathing, contact a veterinarian.",no
20,dog,coughing,"Allow rest and keep away from smoke or dust. Provide water. If coughing lasts long, worsens, or affects breathing, contact a veterinarian.",no
21,dog,coughing,"Allow rest and keep away from smoke or dust. Provide water. If coughing lasts long, worsens, or affects breathing, contact a veterinarian.",no
31,dog,coughing,"Allow rest and keep away from smoke or dust. Provide water. If coughing lasts long, worsens, or affects breathing, contact a veterinarian.",no
32,dog,coughing,"Allow rest and keep away from smoke or dust. Provide water. If coughing lasts long, worsens, or affects breathing, contact a veterinarian.",no
38,dog,coughing,"Allow rest and keep away from smoke or dust. Provide water. If coughing lasts long, worsens, or affects breathing, contact a veterinarian.",no
39,dog,coughing,"Allow rest and keep away from smoke or dust. Provide water. If coughing lasts long, worsens, or affects breathing, contact a veterinarian.",no
40,dog,coughing,"Allow rest and keep away from smoke or dust. Provide water. If coughing lasts long, worsens, or affects breathing, contact a veterinarian.",no
42,dog,coughing,"Allow rest and keep away from smoke or dust. Provide water. If coughing lasts long, worsens, or affects breathing, contact a veterinarian.",no
45,dog,coughing,"Allow rest and keep away from smoke or dust. Provide water. If coughing lasts long, worsens, or affects breathing, contact a veterinarian.",no
47,dog,coughing,"Allow rest and keep away from smoke or dust. Provide water. If coughing lasts long, worsens, or affects breathing, contact a veterinarian.",no
50,dog,coughing,"Allow rest and keep away from smoke or dust. Provide water. If coughing lasts long, worsens, or affects breathing, contact a veterinarian.",no
52,dog,coughing,"Allow rest and keep away from smoke or dust. Provide water. If coughing lasts long, worsens, or affects breathing, contact a veterinarian.",no
56,dog,coughing,"Allow rest and keep away from smoke or dust. Provide water. If coughing lasts long, worsens, or affects breathing, contact a veterinarian.",no
59,dog,coughing,"Allow rest and keep away from smoke or dust. Provide water. If coughing lasts long, worsens, or affects breathing, contact a veterinarian.",no
69,dog,coughing,"Allow rest and keep away from smoke or dust. Provide water. If coughing lasts long, worsens, or affects breathing, contact a veterinarian.",no
71,dog,coughing,"Allow rest and keep away from smoke or dust. Provide water. If coughing lasts long, worsens, or affects breathing, contact a veterinarian.",no
72,dog,coughing,"Allow rest and keep away from smoke or dust. Provide water. If coughing lasts long, worsens, or affects breathing, contact a veterinarian.",no
73,dog,coughing,"Allow rest and keep away from smoke or dust. Provide water. If coughing lasts long, worsens, or affects breathing, contact a veterinarian.",no
75,dog,coughing,"Allow rest and keep away from smoke or dust. Provide water. If coughing lasts long, worsens, or affects breathing, contact a veterinarian.",no
76,dog,coughing,"Allow rest and keep away from smoke or dust. Provide water. If coughing lasts long, worsens, or affects breathing, contact a veterinarian.",no
78,dog,coughing,"Allow rest and keep away from smoke or dust. Provide water. If coughing lasts long, worsens, or affects breathing, contact a veterinarian.",no
79,dog,coughing,"Allow rest and keep away from smoke or dust. Provide water. If coughing lasts long, worsens, or affects breathing, contact a veterinarian.",no
82,dog,coughing,"Allow rest and keep away from smoke or dust. Provide water. If coughing lasts long, worsens, or affects breathing, contact a veterinarian.",no
86,dog,coughing,"Allow rest and keep away from smoke or dust. Provide water. If coughing lasts long, worsens, or affects breathing, contact a veterinarian.",no
90,dog,coughing,"Allow rest and keep away from smoke or dust. Provide water. If coughing lasts long, worsens, or affects breathing, contact a veterinarian.",no
94,dog,coughing,"Allow rest and keep away from smoke or dust. Provide water. If coughing lasts long, worsens, or affects breathing, contact a veterinarian.",no
97,dog,coughing,"Allow rest and keep away from smoke or dust. Provide water. If coughing lasts long, worsens, or affects breathing, contact a veterinarian.",no
104,dog,coughing,"Allow rest and keep away from smoke or dust. Provide water. If coughing lasts long, worsens, or affects breathing, contact a veterinarian.",no
109,dog,coughing,"Allow rest and keep away from smoke or dust. Provide water. If coughing lasts long, worsens, or affects breathing, contact a veterinarian.",no
23,dog,crusting of the skin,"Do not peel crusts. Clean gently with clean water and keep the area dry. If redness spreads or infection signs appear, consult a veterinarian.",no
23,dog,dandruff,This symptom requires veterinary assessment. Please contact a veterinarian.,no
23,dog,darkened skin,This symptom requires veterinary assessment. Please contact a veterinarian.,no
1,dog,dehydration,"Offer small frequent sips of water or rehydration solution. If your dog cannot drink or becomes very weak, seek veterinary care.",no
27,dog,dehydration,"Offer small frequent sips of water or rehydration solution. If your dog cannot drink or becomes very weak, seek veterinary care.",no
28,dog,dehydration,"Offer small frequent sips of water or rehydration solution. If your dog cannot drink or becomes very weak, seek veterinary care.",no
58,dog,dehydration,"Offer small frequent sips of water or rehydration solution. If your dog cannot drink or becomes very weak, seek veterinary care.",no
61,dog,dehydration,"Offer small frequent sips of water or rehydration solution. If your dog cannot drink or becomes very weak, seek veterinary care.",no
65,dog,dehydration,"Offer small frequent sips of water or rehydration solution. If your dog cannot drink or becomes very weak, seek veterinary care.",no
1,dog,diarrhea,"Ensure access to water. Pause food briefly and offer bland meals. If diarrhea is severe, bloody, or lasts more than a day, contact a veterinarian.",no
2,dog,diarrhea,"Ensure access to water. Pause food briefly and offer bland meals. If diarrhea is severe, bloody, or lasts more than a day, contact a veterinarian.",no
3,dog,diarrhea,"Ensure access to water. Pause food briefly and offer bland meals. If diarrhea is severe, bloody, or lasts more than a day, contact a veterinarian.",no
5,dog,diarrhea,"Ensure access to water. Pause food briefly and offer bland meals. If diarrhea is severe, bloody, or lasts more than a day, contact a veterinarian.",no
7,dog,diarrhea,"Ensure access to water. Pause food briefly and offer bland meals. If diarrhea is severe, bloody, or lasts more than a day, contact a veterinarian.",no
13,dog,diarrhea,"Ensure access to water. Pause food briefly and offer bland meals. If diarrhea is severe, bloody, or lasts more than a day, contact a veterinarian.",no
17,dog,diarrhea,"Ensure access to water. Pause food briefly and offer bland meals. If diarrhea is severe, bloody, or lasts more than a day, contact a veterinarian.",no
17,dog,diarrhea,"Ensure access to water. Pause food briefly and offer bland meals. If diarrhea is severe, bloody, or lasts more than a day, contact a veterinarian.",no
25,dog,diarrhea,"Ensure access to water. Pause food briefly and offer bland meals. If diarrhea is severe, bloody, or lasts more than a day, contact a veterinarian.",no
27,dog,diarrhea,"Ensure access to water. Pause food briefly and offer bland meals. If diarrhea is severe, bloody, or lasts more than a day, contact a veterinarian.",no
29,dog,diarrhea,"Ensure access to water. Pause food briefly and offer bland meals. If diarrhea is severe, bloody, or lasts more than a day, contact a veterinarian.",no
30,dog,diarrhea,"Ensure access to water. Pause food briefly and offer bland meals. If diarrhea is severe, bloody, or lasts more than a day, contact a veterinarian.",no
31,dog,diarrhea,"Ensure access to water. Pause food briefly and offer bland meals. If diarrhea is severe, bloody, or lasts more than a day, contact a veterinarian.",no
36,dog,diarrhea,"Ensure access to water. Pause food briefly and offer bland meals. If diarrhea is severe, bloody, or lasts more than a day, contact a veterinarian.",no
40,dog,diarrhea,"Ensure access to water. Pause food briefly and offer bland meals. If diarrhea is severe, bloody, or lasts more than a day, contact a veterinarian.",no
44,dog,diarrhea,"Ensure access to water. Pause food briefly and offer bland meals. If diarrhea is severe, bloody, or lasts more than a day, contact a veterinarian.",no
48,dog,diarrhea,"Ensure access to water. Pause food briefly and offer bland meals. If diarrhea is severe, bloody, or lasts more than a day, contact a veterinarian.",no
49,dog,diarrhea,"Ensure access to water. Pause food briefly and offer bland meals. If diarrhea is severe, bloody, or lasts more than a day, contact a veterinarian.",no
51,dog,diarrhea,"Ensure access to water. Pause food briefly and offer bland meals. If diarrhea is severe, bloody, or lasts more than a day, contact a veterinarian.",no
54,dog,diarrhea,"Ensure access to water. Pause food briefly and offer bland meals. If diarrhea is severe, bloody, or lasts more than a day, contact a veterinarian.",no
57,dog,diarrhea,"Ensure access to water. Pause food briefly and offer bland meals. If diarrhea is severe, bloody, or lasts more than a day, contact a veterinarian.",no
58,dog,diarrhea,"Ensure access to water. Pause food briefly and offer bland meals. If diarrhea is severe, bloody, or lasts more than a day, contact a veterinarian.",no
60,dog,diarrhea,"Ensure access to water. Pause food briefly and offer bland meals. If diarrhea is severe, bloody, or lasts more than a day, contact a veterinarian.",no
61,dog,diarrhea,"Ensure access to water. Pause food briefly and offer bland meals. If diarrhea is severe, bloody, or lasts more than a day, contact a veterinarian.",no
63,dog,diarrhea,"Ensure access to water. Pause food briefly and offer bland meals. If diarrhea is severe, bloody, or lasts more than a day, contact a veterinarian.",no
64,dog,diarrhea,"Ensure access to water. Pause food briefly and offer bland meals. If diarrhea is severe, bloody, or lasts more than a day, contact a veterinarian.",no
66,dog,diarrhea,"Ensure access to water. Pause food briefly and offer bland meals. If diarrhea is severe, bloody, or lasts more than a day, contact a veterinarian.",no
67,dog,diarrhea,"Ensure access to water. Pause food briefly and offer bland meals. If diarrhea is severe, bloody, or lasts more than a day, contact a veterinarian.",no
68,dog,diarrhea,"Ensure access to water. Pause food briefly and offer bland meals. If diarrhea is severe, bloody, or lasts more than a day, contact a veterinarian.",no
70,dog,diarrhea,"Ensure access to water. Pause food briefly and offer bland meals. If diarrhea is severe, bloody, or lasts more than a day, contact a veterinarian.",no
83,dog,diarrhea,"Ensure access to water. Pause food briefly and offer bland meals. If diarrhea is severe, bloody, or lasts more than a day, contact a veterinarian.",no
107,dog,diarrhea,"Ensure access to water. Pause food briefly and offer bland meals. If diarrhea is severe, bloody, or lasts more than a day, contact a veterinarian.",no
32,dog,distended chest,This symptom requires veterinary assessment. Please contact a veterinarian.,no
20,dog,eye and skin change,This symptom requires veterinary assessment. Please contact a veterinarian.,no
28,dog,eye discharge,"Gently wipe discharge with a clean damp cloth. Avoid human eye drops. If swelling or pain develops, see a veterinarian.",no
53,dog,eye discharge,"Gently wipe discharge with a clean damp cloth. Avoid human eye drops. If swelling or pain develops, see a veterinarian.",no
15,dog,eye inflammation,"Prevent rubbing and flush gently with clean saline if irritated. If redness or pain continues, consult a veterinarian.",no
19,dog,eye inflammation,"Prevent rubbing and flush gently with clean saline if irritated. If redness or pain continues, consult a veterinarian.",no
1,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
2,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
3,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
4,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
5,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
6,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
9,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
13,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
14,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
15,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
16,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
19,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
20,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
21,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
25,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
33,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
35,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
37,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
41,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
43,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
44,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
46,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
49,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
52,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
55,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
57,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
62,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
69,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
74,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
75,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
76,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
77,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
78,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
79,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
80,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
81,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
82,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
83,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
84,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
85,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
86,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
87,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
88,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
89,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
90,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
91,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
92,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
93,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
94,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
95,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
96,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
97,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
98,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
99,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
100,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
101,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
102,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
103,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
104,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
105,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
106,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
108,dog,fever,This symptom requires veterinary assessment. Please contact a veterinarian.,no
17,dog,flatulence,This symptom requires veterinary assessment. Please contact a veterinarian.,no
8,dog,foul breath,This symptom requires veterinary assessment. Please contact a veterinarian.,no
23,dog,hair loss,Check for parasites or irritation and keep skin clean. Ongoing hair loss or skin changes should be examined by a veterinarian.,no
6,dog,hyperesthesia,This symptom requires veterinary assessment. Please contact a veterinarian.,no
26,dog,jaundice,This symptom requires veterinary assessment. Please contact a veterinarian.,no
21,dog,joint pain,Limit activity and let your dog rest comfortably. Never give human pain medicine. Contact a veterinarian if pain persists.,no
24,dog,lack of pigmentation,This symptom requires veterinary assessment. Please contact a veterinarian.,no
12,dog,lameness,"Restrict activity and inspect the paw or leg gently. If your dog cannot use the leg or shows severe pain, seek urgent veterinary care.",no
14,dog,lameness,"Restrict activity and inspect the paw or leg gently. If your dog cannot use the leg or shows severe pain, seek urgent veterinary care.",no
19,dog,lameness,"Restrict activity and inspect the paw or leg gently. If your dog cannot use the leg or shows severe pain, seek urgent veterinary care.",no
34,dog,lameness,"Restrict activity and inspect the paw or leg gently. If your dog cannot use the leg or shows severe pain, seek urgent veterinary care.",no
37,dog,lameness,"Restrict activity and inspect the paw or leg gently. If your dog cannot use the leg or shows severe pain, seek urgent veterinary care.",no
41,dog,lameness,"Restrict activity and inspect the paw or leg gently. If your dog cannot use the leg or shows severe pain, seek urgent veterinary care.",no
43,dog,lameness,"Restrict activity and inspect the paw or leg gently. If your dog cannot use the leg or shows severe pain, seek urgent veterinary care.",no
108,dog,lameness,"Restrict activity and inspect the paw or leg gently. If your dog cannot use the leg or shows severe pain, seek urgent veterinary care.",no
22,dog,lesions in the nasal cavity,This symptom requires veterinary assessment. Please contact a veterinarian.,no
22,dog,lesions on nose,This symptom requires veterinary assessment. Please contact a veterinarian.,no
2,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
4,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
5,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
11,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
12,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
14,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
15,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
16,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
18,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
19,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
21,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
24,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
28,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
33,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
35,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
36,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
37,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
39,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
40,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
41,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
42,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
44,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
45,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
46,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
47,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
48,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
50,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
51,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
53,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
55,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
56,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
59,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
60,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
62,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
63,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
64,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
65,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
66,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
67,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
68,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
70,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
71,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
72,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
73,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
74,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
75,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
76,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
77,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
78,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
79,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
80,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
81,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
82,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
83,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
84,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
85,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
86,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
87,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
88,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
89,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
90,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
91,dog,lethargy,"Keep your dog warm and quiet and offer water. If your dog is very weak, unresponsive, or worsening, contact a veterinarian immediately.",yes
